Place,Rent,Distance,Gender,WiFi,Food,Parking,Amenities,Combined
Air Force Colony,5000,6000.0,Female,No,Yes,Yes,"Transportation, Restaurants, Grocery Stores, Medical Shops, Gym",Air Force Colony 5000 6000.0 Female No Yes Yes Transportation Restaurants Grocery Stores Medical Shops Gym
Air Force Colony,7800,6000.0,Female,Yes,Yes,Yes,"Restaurants, Gym, Transportation",Air Force Colony 7800 6000.0 Female Yes Yes Yes Restaurants Gym Transportation
Morowala,12500,7000.0,Female,No,No,No,"Medical Shops, Grocery Stores",Morowala 12500 7000.0 Female No No No Medical Shops Grocery Stores
Clement Town,7100,2700.0,Female,No,Yes,No,"Gym, Medical Shops",Clement Town 7100 2700.0 Female No Yes No Gym Medical Shops
Pant Road,4300,6400.0,Male,No,Yes,Yes,"Gym, Restaurants, Grocery Stores, Transportation",Pant Road 4300 6400.0 Male No Yes Yes Gym Restaurants Grocery Stores Transportation
"Lane-10, Post Office Road",8600,4200.0,Female,No,No,No,"Restaurants, Gym, Grocery Stores",Lane-10 Post Office Road 8600 4200.0 Female No No No Restaurants Gym Grocery Stores
Pant Road,4900,6400.0,Female,No,Yes,Yes,"Transportation, Restaurants",Pant Road 4900 6400.0 Female No Yes Yes Transportation Restaurants
"Clement Town, Post Office Road, Lane No 10",5900,4000.0,Male,No,Yes,No,Grocery Stores,Clement Town Post Office Road Lane No 10 5900 4000.0 Male No Yes No Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",10600,4100.0,Female,Yes,Yes,No,"Grocery Stores, Transportation, Gym, Restaurants",Lane No 2C Post Office Road Clement Town Dehradun 10600 4100.0 Female Yes Yes No Grocery Stores Transportation Gym Restaurants
"Subhash Nagar, Dehradun",9400,5300.0,Male,No,Yes,Yes,"Grocery Stores, Transportation, Medical Shops",Subhash Nagar Dehradun 9400 5300.0 Male No Yes Yes Grocery Stores Transportation Medical Shops
"Clement Town, Post Office Road, Lane No 10",11900,4000.0,Female,Yes,No,Yes,Gym,Clement Town Post Office Road Lane No 10 11900 4000.0 Female Yes No Yes Gym
"Lane-4, Clement Town",11800,3500.0,Female,No,Yes,Yes,"Gym, Restaurants, Grocery Stores, Medical Shops",Lane-4 Clement Town 11800 3500.0 Female No Yes Yes Gym Restaurants Grocery Stores Medical Shops
Bell Road,3800,5800.0,Female,Yes,No,Yes,"Transportation, Gym, Medical Shops, Restaurants, Grocery Stores",Bell Road 3800 5800.0 Female Yes No Yes Transportation Gym Medical Shops Restaurants Grocery Stores
"Lane-4, Clement Town",3000,3500.0,Female,No,Yes,Yes,"Transportation, Medical Shops",Lane-4 Clement Town 3000 3500.0 Female No Yes Yes Transportation Medical Shops
"Clement Town, Post Office Road, Lane No 10",6600,4000.0,Male,No,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation",Clement Town Post Office Road Lane No 10 6600 4000.0 Male No Yes Yes Grocery Stores Restaurants Medical Shops Transportation
Air Force Colony,7200,6000.0,Male,Yes,No,Yes,Gym,Air Force Colony 7200 6000.0 Male Yes No Yes Gym
"Lane-10, Post Office Road",7000,4200.0,Female,No,No,Yes,"Grocery Stores, Gym, Medical Shops, Restaurants, Transportation",Lane-10 Post Office Road 7000 4200.0 Female No No Yes Grocery Stores Gym Medical Shops Restaurants Transportation
"Subhash Nagar, Dehradun",11100,5300.0,Female,Yes,No,No,"Transportation, Restaurants, Medical Shops, Grocery Stores",Subhash Nagar Dehradun 11100 5300.0 Female Yes No No Transportation Restaurants Medical Shops Grocery Stores
Manav Kendra,3600,3900.0,Male,No,Yes,Yes,"Medical Shops, Gym",Manav Kendra 3600 3900.0 Male No Yes Yes Medical Shops Gym
Sahastradhara,8800,9500.0,Male,Yes,Yes,Yes,"Gym, Restaurants",Sahastradhara 8800 9500.0 Male Yes Yes Yes Gym Restaurants
Gurn Nanak Road,4900,5000.0,Male,Yes,Yes,No,"Restaurants, Gym, Medical Shops, Transportation, Grocery Stores",Gurn Nanak Road 4900 5000.0 Male Yes Yes No Restaurants Gym Medical Shops Transportation Grocery Stores
ISBT Road,5400,3300.0,Female,No,Yes,Yes,"Gym, Restaurants, Transportation, Medical Shops",ISBT Road 5400 3300.0 Female No Yes Yes Gym Restaurants Transportation Medical Shops
"Lane No 2C, Post Office Road, Clement Town, Dehradun",10900,4100.0,Female,No,No,Yes,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants",Lane No 2C Post Office Road Clement Town Dehradun 10900 4100.0 Female No No Yes Gym Medical Shops Grocery Stores Transportation Restaurants
Mohabbewala,5500,8200.0,Female,Yes,Yes,Yes,"Restaurants, Grocery Stores, Medical Shops",Mohabbewala 5500 8200.0 Female Yes Yes Yes Restaurants Grocery Stores Medical Shops
"Lane-2, Clement Town",5800,2900.0,Male,No,Yes,No,"Gym, Grocery Stores, Restaurants, Transportation, Medical Shops",Lane-2 Clement Town 5800 2900.0 Male No Yes No Gym Grocery Stores Restaurants Transportation Medical Shops
Gurn Nanak Road,6700,5000.0,Female,Yes,Yes,No,"Gym, Medical Shops, Grocery Stores, Restaurants, Transportation",Gurn Nanak Road 6700 5000.0 Female Yes Yes No Gym Medical Shops Grocery Stores Restaurants Transportation
GK army Pre Primary School,4700,4600.0,Male,Yes,Yes,No,"Gym, Restaurants, Transportation, Grocery Stores, Medical Shops",GK army Pre Primary School 4700 4600.0 Male Yes Yes No Gym Restaurants Transportation Grocery Stores Medical Shops
Clement Town,6900,2700.0,Male,Yes,No,Yes,"Medical Shops, Gym",Clement Town 6900 2700.0 Male Yes No Yes Medical Shops Gym
"Clement Town, Post Office Road, Lane No 10",10400,4000.0,Male,Yes,Yes,No,"Gym, Restaurants, Grocery Stores, Transportation",Clement Town Post Office Road Lane No 10 10400 4000.0 Male Yes Yes No Gym Restaurants Grocery Stores Transportation
"Subhash Nagar, Dehradun",6500,5300.0,Female,No,Yes,Yes,"Medical Shops, Transportation, Gym, Restaurants, Grocery Stores",Subhash Nagar Dehradun 6500 5300.0 Female No Yes Yes Medical Shops Transportation Gym Restaurants Grocery Stores
Clement Town,9800,2700.0,Male,Yes,Yes,Yes,"Medical Shops, Gym, Restaurants",Clement Town 9800 2700.0 Male Yes Yes Yes Medical Shops Gym Restaurants
ISBT Road,6800,3300.0,Male,Yes,No,No,"Gym, Medical Shops, Restaurants",ISBT Road 6800 3300.0 Male Yes No No Gym Medical Shops Restaurants
Tibetan Colony,5900,6800.0,Male,Yes,Yes,Yes,Grocery Stores,Tibetan Colony 5900 6800.0 Male Yes Yes Yes Grocery Stores
Manav Kendra,5200,3900.0,Female,No,No,No,"Restaurants, Medical Shops, Gym, Transportation",Manav Kendra 5200 3900.0 Female No No No Restaurants Medical Shops Gym Transportation
"Subhash Nagar, Dehradun",5900,5300.0,Female,No,No,No,"Medical Shops, Gym, Grocery Stores, Restaurants",Subhash Nagar Dehradun 5900 5300.0 Female No No No Medical Shops Gym Grocery Stores Restaurants
"Lane-3, Clement Town",8800,3300.0,Female,Yes,No,Yes,"Grocery Stores, Transportation",Lane-3 Clement Town 8800 3300.0 Female Yes No Yes Grocery Stores Transportation
Shubhash Nagar,7200,5400.0,Male,No,No,No,"Restaurants, Medical Shops, Transportation",Shubhash Nagar 7200 5400.0 Male No No No Restaurants Medical Shops Transportation
"Lane-10, Post Office Road",8100,4200.0,Male,Yes,No,No,Transportation,Lane-10 Post Office Road 8100 4200.0 Male Yes No No Transportation
"Subhash Nagar, Dehradun",12700,5300.0,Female,No,Yes,Yes,"Transportation, Restaurants, Medical Shops",Subhash Nagar Dehradun 12700 5300.0 Female No Yes Yes Transportation Restaurants Medical Shops
"Lane No 2C, Post Office Road, Clement Town, Dehradun",12500,4100.0,Male,Yes,No,Yes,"Gym, Medical Shops, Transportation, Restaurants, Grocery Stores",Lane No 2C Post Office Road Clement Town Dehradun 12500 4100.0 Male Yes No Yes Gym Medical Shops Transportation Restaurants Grocery Stores
Gurn Nanak Road,10700,5000.0,Female,Yes,Yes,No,"Medical Shops, Grocery Stores",Gurn Nanak Road 10700 5000.0 Female Yes Yes No Medical Shops Grocery Stores
Subhash Nagar,3000,5000.0,Male,Yes,Yes,No,Grocery Stores,Subhash Nagar 3000 5000.0 Male Yes Yes No Grocery Stores
ISBT Road,3500,3300.0,Female,No,No,No,"Transportation, Medical Shops, Gym",ISBT Road 3500 3300.0 Female No No No Transportation Medical Shops Gym
Pant Road,5100,6400.0,Male,Yes,Yes,Yes,Medical Shops,Pant Road 5100 6400.0 Male Yes Yes Yes Medical Shops
Mohabbewala,8300,8200.0,Male,No,No,No,"Restaurants, Gym",Mohabbewala 8300 8200.0 Male No No No Restaurants Gym
Manav Kendra,6300,3900.0,Male,Yes,No,No,Transportation,Manav Kendra 6300 3900.0 Male Yes No No Transportation
Bell Road,8800,5800.0,Male,Yes,Yes,No,"Transportation, Medical Shops, Restaurants, Gym",Bell Road 8800 5800.0 Male Yes Yes No Transportation Medical Shops Restaurants Gym
"Lane-4, Clement Town",7900,3500.0,Female,Yes,No,No,"Medical Shops, Gym, Grocery Stores, Transportation, Restaurants",Lane-4 Clement Town 7900 3500.0 Female Yes No No Medical Shops Gym Grocery Stores Transportation Restaurants
"Lane-10, Post Office Road",3800,4200.0,Female,No,Yes,No,"Medical Shops, Gym",Lane-10 Post Office Road 3800 4200.0 Female No Yes No Medical Shops Gym
Shubhash Nagar,11100,5400.0,Female,Yes,No,Yes,"Gym, Transportation, Medical Shops, Restaurants",Shubhash Nagar 11100 5400.0 Female Yes No Yes Gym Transportation Medical Shops Restaurants
"Lane-2, Clement Town",6300,2900.0,Male,Yes,Yes,No,"Gym, Transportation",Lane-2 Clement Town 6300 2900.0 Male Yes Yes No Gym Transportation
Pant Road,4500,6400.0,Male,No,Yes,No,Grocery Stores,Pant Road 4500 6400.0 Male No Yes No Grocery Stores
Subhash Nagar,5300,5000.0,Female,No,No,No,"Medical Shops, Restaurants",Subhash Nagar 5300 5000.0 Female No No No Medical Shops Restaurants
"Lane-2, Clement Town",3900,2900.0,Female,No,No,Yes,"Grocery Stores, Medical Shops, Transportation, Restaurants, Gym",Lane-2 Clement Town 3900 2900.0 Female No No Yes Grocery Stores Medical Shops Transportation Restaurants Gym
"Lane-10, Post Office Road",5900,4200.0,Male,Yes,No,Yes,"Grocery Stores, Medical Shops",Lane-10 Post Office Road 5900 4200.0 Male Yes No Yes Grocery Stores Medical Shops
Jaligaon,9700,7500.0,Female,No,Yes,Yes,"Medical Shops, Gym",Jaligaon 9700 7500.0 Female No Yes Yes Medical Shops Gym
"Clement Town, Post Office Road, Lane No 10",4500,4000.0,Female,Yes,No,Yes,"Grocery Stores, Gym, Transportation, Medical Shops",Clement Town Post Office Road Lane No 10 4500 4000.0 Female Yes No Yes Grocery Stores Gym Transportation Medical Shops
Mohabbewala,11800,8200.0,Female,No,No,No,"Transportation, Gym, Restaurants",Mohabbewala 11800 8200.0 Female No No No Transportation Gym Restaurants
Clement Town,12200,2700.0,Male,Yes,No,Yes,"Medical Shops, Restaurants",Clement Town 12200 2700.0 Male Yes No Yes Medical Shops Restaurants
"Lane-4, Clement Town",10400,3500.0,Male,No,Yes,No,"Grocery Stores, Gym",Lane-4 Clement Town 10400 3500.0 Male No Yes No Grocery Stores Gym
Mohabbewala,3300,8200.0,Female,Yes,No,Yes,"Transportation, Medical Shops",Mohabbewala 3300 8200.0 Female Yes No Yes Transportation Medical Shops
ISBT Road,6600,3300.0,Female,Yes,No,Yes,"Medical Shops, Restaurants, Grocery Stores, Gym, Transportation",ISBT Road 6600 3300.0 Female Yes No Yes Medical Shops Restaurants Grocery Stores Gym Transportation
Clement Town,5600,2700.0,Female,Yes,No,Yes,"Grocery Stores, Medical Shops, Transportation",Clement Town 5600 2700.0 Female Yes No Yes Grocery Stores Medical Shops Transportation
Air Force Colony,11800,6000.0,Female,Yes,Yes,Yes,"Grocery Stores, Medical Shops, Restaurants, Transportation, Gym",Air Force Colony 11800 6000.0 Female Yes Yes Yes Grocery Stores Medical Shops Restaurants Transportation Gym
"Lane-2, Clement Town",9400,2900.0,Female,Yes,No,Yes,"Transportation, Gym",Lane-2 Clement Town 9400 2900.0 Female Yes No Yes Transportation Gym
"Subhash Nagar, Dehradun",7100,5300.0,Female,Yes,No,Yes,"Medical Shops, Restaurants, Gym, Transportation",Subhash Nagar Dehradun 7100 5300.0 Female Yes No Yes Medical Shops Restaurants Gym Transportation
"Lane-3, Clement Town",10600,3300.0,Female,No,No,Yes,"Gym, Grocery Stores",Lane-3 Clement Town 10600 3300.0 Female No No Yes Gym Grocery Stores
"Lane-1, Clement Town",9000,2800.0,Male,Yes,Yes,Yes,"Transportation, Gym, Restaurants",Lane-1 Clement Town 9000 2800.0 Male Yes Yes Yes Transportation Gym Restaurants
"Lane-10, Post Office Road",6200,4200.0,Male,Yes,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation, Gym",Lane-10 Post Office Road 6200 4200.0 Male Yes Yes Yes Grocery Stores Restaurants Medical Shops Transportation Gym
"Lane No 2C, Post Office Road, Clement Town, Dehradun",5700,4100.0,Male,Yes,No,No,"Transportation, Restaurants, Medical Shops, Gym, Grocery Stores",Lane No 2C Post Office Road Clement Town Dehradun 5700 4100.0 Male Yes No No Transportation Restaurants Medical Shops Gym Grocery Stores
Jaligaon,9400,7500.0,Female,No,Yes,No,"Restaurants, Grocery Stores, Gym, Medical Shops, Transportation",Jaligaon 9400 7500.0 Female No Yes No Restaurants Grocery Stores Gym Medical Shops Transportation
Shubhash Nagar,3100,5400.0,Female,Yes,Yes,No,"Transportation, Restaurants, Medical Shops",Shubhash Nagar 3100 5400.0 Female Yes Yes No Transportation Restaurants Medical Shops
St Mary Church,4700,4400.0,Male,No,No,No,"Medical Shops, Restaurants, Gym, Transportation",St Mary Church 4700 4400.0 Male No No No Medical Shops Restaurants Gym Transportation
Tibetan Colony,12900,6800.0,Male,No,No,Yes,"Medical Shops, Transportation",Tibetan Colony 12900 6800.0 Male No No Yes Medical Shops Transportation
Pant Road,5200,6400.0,Female,No,Yes,No,"Transportation, Grocery Stores, Gym, Medical Shops, Restaurants",Pant Road 5200 6400.0 Female No Yes No Transportation Grocery Stores Gym Medical Shops Restaurants
Clement Town,8500,2700.0,Male,Yes,Yes,No,"Medical Shops, Transportation, Gym, Grocery Stores, Restaurants",Clement Town 8500 2700.0 Male Yes Yes No Medical Shops Transportation Gym Grocery Stores Restaurants
Pant Road,11100,6400.0,Female,No,No,No,"Grocery Stores, Gym, Transportation, Restaurants",Pant Road 11100 6400.0 Female No No No Grocery Stores Gym Transportation Restaurants
Gurn Nanak Road,5300,5000.0,Male,No,Yes,Yes,"Gym, Medical Shops, Transportation, Restaurants, Grocery Stores",Gurn Nanak Road 5300 5000.0 Male No Yes Yes Gym Medical Shops Transportation Restaurants Grocery Stores
Shubhash Nagar,7300,5400.0,Male,No,Yes,No,Restaurants,Shubhash Nagar 7300 5400.0 Male No Yes No Restaurants
Manav Kendra,5500,3900.0,Female,Yes,Yes,No,"Medical Shops, Transportation, Gym",Manav Kendra 5500 3900.0 Female Yes Yes No Medical Shops Transportation Gym
Sahastradhara,5000,9500.0,Male,Yes,No,Yes,"Grocery Stores, Transportation, Medical Shops, Restaurants, Gym",Sahastradhara 5000 9500.0 Male Yes No Yes Grocery Stores Transportation Medical Shops Restaurants Gym
Pant Road,6400,6400.0,Female,No,Yes,Yes,"Gym, Medical Shops",Pant Road 6400 6400.0 Female No Yes Yes Gym Medical Shops
Sahastradhara,10300,9500.0,Female,No,No,No,"Grocery Stores, Transportation",Sahastradhara 10300 9500.0 Female No No No Grocery Stores Transportation
Jaligaon,3300,7500.0,Male,Yes,Yes,No,"Restaurants, Gym, Grocery Stores, Medical Shops, Transportation",Jaligaon 3300 7500.0 Male Yes Yes No Restaurants Gym Grocery Stores Medical Shops Transportation
Clement Town,11700,2700.0,Male,No,Yes,No,"Grocery Stores, Medical Shops, Gym, Restaurants",Clement Town 11700 2700.0 Male No Yes No Grocery Stores Medical Shops Gym Restaurants
Gurn Nanak Road,7400,5000.0,Male,Yes,Yes,No,"Transportation, Medical Shops, Grocery Stores, Restaurants, Gym",Gurn Nanak Road 7400 5000.0 Male Yes Yes No Transportation Medical Shops Grocery Stores Restaurants Gym
Subhash Nagar,9400,5000.0,Male,No,Yes,No,"Medical Shops, Gym",Subhash Nagar 9400 5000.0 Male No Yes No Medical Shops Gym
Pant Road,11300,6400.0,Female,Yes,Yes,Yes,"Medical Shops, Grocery Stores",Pant Road 11300 6400.0 Female Yes Yes Yes Medical Shops Grocery Stores
"Lane-1, Clement Town",4500,2800.0,Male,No,Yes,No,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants",Lane-1 Clement Town 4500 2800.0 Male No Yes No Gym Medical Shops Grocery Stores Transportation Restaurants
"Lane-2, Clement Town",11400,2900.0,Female,No,Yes,No,"Transportation, Grocery Stores",Lane-2 Clement Town 11400 2900.0 Female No Yes No Transportation Grocery Stores
Subhash Nagar,7700,5000.0,Female,Yes,Yes,No,"Gym, Restaurants",Subhash Nagar 7700 5000.0 Female Yes Yes No Gym Restaurants
Nehru Marg,5200,5700.0,Male,Yes,Yes,Yes,"Medical Shops, Transportation, Restaurants, Gym",Nehru Marg 5200 5700.0 Male Yes Yes Yes Medical Shops Transportation Restaurants Gym
Morowala,6300,7000.0,Female,No,Yes,Yes,"Grocery Stores, Transportation, Restaurants, Medical Shops",Morowala 6300 7000.0 Female No Yes Yes Grocery Stores Transportation Restaurants Medical Shops
"Subhash Nagar, Dehradun",8000,5300.0,Male,Yes,Yes,Yes,"Gym, Medical Shops, Restaurants",Subhash Nagar Dehradun 8000 5300.0 Male Yes Yes Yes Gym Medical Shops Restaurants
Bell Road,6400,5800.0,Female,No,No,No,"Gym, Medical Shops",Bell Road 6400 5800.0 Female No No No Gym Medical Shops
Jaligaon,6900,7500.0,Male,Yes,No,Yes,"Restaurants, Gym",Jaligaon 6900 7500.0 Male Yes No Yes Restaurants Gym
"Subhash Nagar, Dehradun",4200,5300.0,Female,No,Yes,Yes,"Restaurants, Medical Shops",Subhash Nagar Dehradun 4200 5300.0 Female No Yes Yes Restaurants Medical Shops
"Lane No 2C, Post Office Road, Clement Town, Dehradun",9800,4100.0,Female,No,Yes,No,"Transportation, Grocery Stores, Medical Shops, Restaurants",Lane No 2C Post Office Road Clement Town Dehradun 9800 4100.0 Female No Yes No Transportation Grocery Stores Medical Shops Restaurants
Bell Road,4700,5800.0,Female,No,No,No,"Transportation, Gym, Medical Shops, Restaurants, Grocery Stores",Bell Road 4700 5800.0 Female No No No Transportation Gym Medical Shops Restaurants Grocery Stores
"Lane-10, Post Office Road",5700,4200.0,Male,No,No,No,"Gym, Transportation, Grocery Stores, Medical Shops, Restaurants",Lane-10 Post Office Road 5700 4200.0 Male No No No Gym Transportation Grocery Stores Medical Shops Restaurants
Shubhash Nagar,8900,5400.0,Male,Yes,No,No,"Medical Shops, Restaurants",Shubhash Nagar 8900 5400.0 Male Yes No No Medical Shops Restaurants
Bharuwala colony,8200,6200.0,Female,No,No,Yes,"Grocery Stores, Gym, Restaurants",Bharuwala colony 8200 6200.0 Female No No Yes Grocery Stores Gym Restaurants
Bell Road,5100,5800.0,Male,No,Yes,Yes,"Transportation, Medical Shops, Restaurants",Bell Road 5100 5800.0 Male No Yes Yes Transportation Medical Shops Restaurants
Mohabbewala,8000,8200.0,Female,No,No,Yes,"Restaurants, Medical Shops, Gym",Mohabbewala 8000 8200.0 Female No No Yes Restaurants Medical Shops Gym
Jaligaon,5300,7500.0,Female,No,No,No,"Medical Shops, Gym",Jaligaon 5300 7500.0 Female No No No Medical Shops Gym
Sahastradhara,6400,9500.0,Female,Yes,No,No,"Restaurants, Grocery Stores, Medical Shops, Gym",Sahastradhara 6400 9500.0 Female Yes No No Restaurants Grocery Stores Medical Shops Gym
Clement Town,8300,2700.0,Male,No,No,Yes,Transportation,Clement Town 8300 2700.0 Male No No Yes Transportation
Nehru Marg,7000,5700.0,Female,No,Yes,No,"Medical Shops, Restaurants",Nehru Marg 7000 5700.0 Female No Yes No Medical Shops Restaurants
"Lane-10, Post Office Road",4800,4200.0,Female,Yes,No,No,"Transportation, Grocery Stores, Medical Shops, Restaurants, Gym",Lane-10 Post Office Road 4800 4200.0 Female Yes No No Transportation Grocery Stores Medical Shops Restaurants Gym
Pant Road,5600,6400.0,Female,No,No,No,"Transportation, Restaurants, Gym, Medical Shops",Pant Road 5600 6400.0 Female No No No Transportation Restaurants Gym Medical Shops
Shubhash Nagar,3300,5400.0,Female,No,Yes,Yes,"Transportation, Grocery Stores",Shubhash Nagar 3300 5400.0 Female No Yes Yes Transportation Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",8600,4100.0,Female,No,Yes,No,"Restaurants, Grocery Stores, Gym",Lane No 2C Post Office Road Clement Town Dehradun 8600 4100.0 Female No Yes No Restaurants Grocery Stores Gym
"Lane-4, Clement Town",5100,3500.0,Male,Yes,Yes,No,"Grocery Stores, Restaurants",Lane-4 Clement Town 5100 3500.0 Male Yes Yes No Grocery Stores Restaurants
St Mary Church,9800,4400.0,Male,No,No,Yes,"Grocery Stores, Transportation, Gym, Medical Shops",St Mary Church 9800 4400.0 Male No No Yes Grocery Stores Transportation Gym Medical Shops
"Lane-3, Clement Town",3100,3300.0,Male,Yes,No,Yes,"Medical Shops, Transportation, Grocery Stores, Restaurants, Gym",Lane-3 Clement Town 3100 3300.0 Male Yes No Yes Medical Shops Transportation Grocery Stores Restaurants Gym
"Lane-2, Clement Town",10500,2900.0,Female,Yes,Yes,Yes,"Grocery Stores, Medical Shops, Transportation, Restaurants, Gym",Lane-2 Clement Town 10500 2900.0 Female Yes Yes Yes Grocery Stores Medical Shops Transportation Restaurants Gym
St Mary Church,12000,4400.0,Female,Yes,Yes,Yes,"Gym, Transportation, Grocery Stores, Restaurants, Medical Shops",St Mary Church 12000 4400.0 Female Yes Yes Yes Gym Transportation Grocery Stores Restaurants Medical Shops
Air Force Colony,7400,6000.0,Female,No,Yes,Yes,"Medical Shops, Grocery Stores, Restaurants, Gym",Air Force Colony 7400 6000.0 Female No Yes Yes Medical Shops Grocery Stores Restaurants Gym
St Mary Church,7600,4400.0,Female,No,No,No,"Gym, Restaurants",St Mary Church 7600 4400.0 Female No No No Gym Restaurants
"Lane No 2C, Post Office Road, Clement Town, Dehradun",6400,4100.0,Female,Yes,No,No,Transportation,Lane No 2C Post Office Road Clement Town Dehradun 6400 4100.0 Female Yes No No Transportation
Pant Road,7300,6400.0,Female,No,Yes,Yes,"Restaurants, Medical Shops, Gym",Pant Road 7300 6400.0 Female No Yes Yes Restaurants Medical Shops Gym
Manav Kendra,6500,3900.0,Male,No,No,No,"Gym, Restaurants, Grocery Stores",Manav Kendra 6500 3900.0 Male No No No Gym Restaurants Grocery Stores
"Lane-4, Clement Town",7700,3500.0,Female,Yes,No,Yes,Restaurants,Lane-4 Clement Town 7700 3500.0 Female Yes No Yes Restaurants
"Clement Town, Post Office Road, Lane No 10",3700,4000.0,Female,No,No,No,"Grocery Stores, Gym, Transportation",Clement Town Post Office Road Lane No 10 3700 4000.0 Female No No No Grocery Stores Gym Transportation
Manav Kendra,5400,3900.0,Female,No,No,No,Medical Shops,Manav Kendra 5400 3900.0 Female No No No Medical Shops
Subhash Nagar,10000,5000.0,Male,No,No,No,"Gym, Medical Shops, Transportation, Grocery Stores",Subhash Nagar 10000 5000.0 Male No No No Gym Medical Shops Transportation Grocery Stores
Subhash Nagar,11400,5000.0,Male,Yes,No,No,"Restaurants, Medical Shops",Subhash Nagar 11400 5000.0 Male Yes No No Restaurants Medical Shops
"Subhash Nagar, Dehradun",12600,5300.0,Male,Yes,No,Yes,"Transportation, Gym, Restaurants",Subhash Nagar Dehradun 12600 5300.0 Male Yes No Yes Transportation Gym Restaurants
Subhash Nagar,4400,5000.0,Male,No,Yes,No,"Grocery Stores, Medical Shops, Transportation, Gym, Restaurants",Subhash Nagar 4400 5000.0 Male No Yes No Grocery Stores Medical Shops Transportation Gym Restaurants
Gurn Nanak Road,8700,5000.0,Female,No,No,Yes,Transportation,Gurn Nanak Road 8700 5000.0 Female No No Yes Transportation
"Subhash Nagar, Dehradun",9300,5300.0,Female,No,No,Yes,Medical Shops,Subhash Nagar Dehradun 9300 5300.0 Female No No Yes Medical Shops
Nehru Marg,11800,5700.0,Female,No,Yes,No,"Grocery Stores, Restaurants, Transportation",Nehru Marg 11800 5700.0 Female No Yes No Grocery Stores Restaurants Transportation
Gurn Nanak Road,11200,5000.0,Female,Yes,No,Yes,"Transportation, Restaurants, Gym, Medical Shops, Grocery Stores",Gurn Nanak Road 11200 5000.0 Female Yes No Yes Transportation Restaurants Gym Medical Shops Grocery Stores
Bharuwala colony,4100,6200.0,Male,Yes,Yes,Yes,Restaurants,Bharuwala colony 4100 6200.0 Male Yes Yes Yes Restaurants
"Lane No 2C, Post Office Road, Clement Town, Dehradun",8200,4100.0,Male,Yes,No,No,"Medical Shops, Transportation, Gym, Grocery Stores",Lane No 2C Post Office Road Clement Town Dehradun 8200 4100.0 Male Yes No No Medical Shops Transportation Gym Grocery Stores
"Lane-10, Post Office Road",10900,4200.0,Male,No,No,Yes,"Medical Shops, Restaurants, Grocery Stores, Gym, Transportation",Lane-10 Post Office Road 10900 4200.0 Male No No Yes Medical Shops Restaurants Grocery Stores Gym Transportation
St Mary Church,8900,4400.0,Female,Yes,Yes,Yes,"Medical Shops, Grocery Stores",St Mary Church 8900 4400.0 Female Yes Yes Yes Medical Shops Grocery Stores
Jaligaon,10000,7500.0,Female,No,Yes,No,"Restaurants, Grocery Stores, Gym, Medical Shops, Transportation",Jaligaon 10000 7500.0 Female No Yes No Restaurants Grocery Stores Gym Medical Shops Transportation
"Lane-1, Clement Town",8300,2800.0,Female,Yes,Yes,No,Gym,Lane-1 Clement Town 8300 2800.0 Female Yes Yes No Gym
"Lane-10, Post Office Road",7900,4200.0,Male,Yes,Yes,No,"Gym, Restaurants, Grocery Stores, Transportation",Lane-10 Post Office Road 7900 4200.0 Male Yes Yes No Gym Restaurants Grocery Stores Transportation
Shubhash Nagar,12300,5400.0,Female,No,Yes,No,"Gym, Grocery Stores, Restaurants",Shubhash Nagar 12300 5400.0 Female No Yes No Gym Grocery Stores Restaurants
"Lane-1, Clement Town",7600,2800.0,Male,Yes,Yes,No,"Transportation, Grocery Stores, Gym, Medical Shops",Lane-1 Clement Town 7600 2800.0 Male Yes Yes No Transportation Grocery Stores Gym Medical Shops
"Lane-4, Clement Town",7900,3500.0,Male,No,Yes,Yes,"Grocery Stores, Transportation",Lane-4 Clement Town 7900 3500.0 Male No Yes Yes Grocery Stores Transportation
Bharuwala colony,11300,6200.0,Female,No,No,Yes,"Transportation, Grocery Stores",Bharuwala colony 11300 6200.0 Female No No Yes Transportation Grocery Stores
"Lane-4, Clement Town",11800,3500.0,Female,No,Yes,No,"Transportation, Medical Shops, Grocery Stores, Restaurants",Lane-4 Clement Town 11800 3500.0 Female No Yes No Transportation Medical Shops Grocery Stores Restaurants
Sahastradhara,4800,9500.0,Female,Yes,Yes,No,"Grocery Stores, Restaurants, Medical Shops, Transportation",Sahastradhara 4800 9500.0 Female Yes Yes No Grocery Stores Restaurants Medical Shops Transportation
"Lane-10, Post Office Road",10800,4200.0,Female,No,Yes,Yes,"Gym, Grocery Stores, Transportation, Restaurants",Lane-10 Post Office Road 10800 4200.0 Female No Yes Yes Gym Grocery Stores Transportation Restaurants
Tibetan Colony,3500,6800.0,Male,Yes,No,Yes,Restaurants,Tibetan Colony 3500 6800.0 Male Yes No Yes Restaurants
