Location,Rent (INR),Distance from College (km),Gender,WiFi,Distance from College (m),Food Availability,Parking Availability,Amenities
"Lane-3, Clement Town",9572,3.3,Male,No,,Yes,Yes,"Gym, Grocery Stores, Restaurants"
"Lane-3, Clement Town",4292,3.3,Female,Yes,,No,Yes,Medical Shops
"Lane-2, Clement Town",10171,2.9,Male,No,,No,Yes,"Grocery Stores, Medical Shops, Restaurants, Transportation"
Morowala,10861,7.0,Male,Yes,,Yes,Yes,"Gym, Restaurants"
Morowala,4831,7.0,Male,No,,No,Yes,Gym
"Lane-1, Clement Town",5546,2.8,Male,Yes,,Yes,Yes,"Grocery Stores, Gym, Restaurants, Transportation, Medical Shops"
Manav Kendra,11537,3.9,Male,Yes,,Yes,No,"Restaurants, Medical Shops, Grocery Stores"
Shubhash Nagar,10109,5.4,Female,Yes,,Yes,No,"Gym, Restaurants, Medical Shops"
Bell Road,11236,5.8,Male,No,,Yes,Yes,"Medical Shops, Restaurants, Gym, Transportation, Grocery Stores"
ISBT Road,5878,3.3,Female,No,,Yes,Yes,"Transportation, Gym, Grocery Stores"
Nehru Marg,11271,5.7,Female,Yes,,Yes,No,"Gym, Medical Shops"
Clement Town,10060,2.7,Male,Yes,,No,No,"Gym, Medical Shops"
"Lane-2, Clement Town",11840,2.9,Male,Yes,,No,No,"Restaurants, Gym, Transportation, Medical Shops"
"Clement Town, Post Office Road, Lane No 10",9170,4.0,Female,Yes,,Yes,Yes,"Restaurants, Transportation"
Subhash Nagar,7272,5.0,Female,No,,Yes,No,"Grocery Stores, Medical Shops, Transportation, Gym"
St Mary Church,8888,4.4,Female,Yes,,No,No,"Transportation, Medical Shops, Restaurants, Grocery Stores, Gym"
"Lane-2, Clement Town",9065,2.9,Female,Yes,,Yes,No,"Gym, Grocery Stores, Restaurants, Medical Shops"
Bell Road,9885,5.8,Male,Yes,,Yes,Yes,"Grocery Stores, Restaurants"
Tibetan Colony,7029,6.8,Male,Yes,,Yes,No,"Restaurants, Medical Shops, Gym, Grocery Stores, Transportation"
Jaligaon,11262,7.5,Female,Yes,,Yes,Yes,"Transportation, Gym, Restaurants, Grocery Stores"
"Clement Town, Post Office Road, Lane No 10",10693,4.0,Male,Yes,,Yes,Yes,"Grocery Stores, Gym, Restaurants"
Clement Town,6508,2.7,Female,No,,No,Yes,"Gym, Grocery Stores, Restaurants, Medical Shops"
"Lane-2, Clement Town",5573,2.9,Female,No,,No,No,"Gym, Medical Shops, Restaurants, Transportation, Grocery Stores"
Bell Road,4584,5.8,Male,Yes,,No,No,Medical Shops
Pant Road,6741,6.4,Male,No,,No,Yes,Transportation
Shubhash Nagar,7606,5.4,Female,Yes,,Yes,No,Restaurants
"Lane-3, Clement Town",9271,3.3,Female,Yes,,Yes,No,"Transportation, Grocery Stores"
Shubhash Nagar,8095,5.4,Male,No,,No,Yes,"Grocery Stores, Transportation"
Jaligaon,4927,7.5,Female,Yes,,Yes,No,Grocery Stores
St Mary Church,4036,4.4,Male,No,,Yes,Yes,Restaurants
Mohabbewala,12659,8.2,Female,No,,No,Yes,"Gym, Transportation, Grocery Stores, Restaurants, Medical Shops"
Bell Road,8896,5.8,Male,No,,Yes,Yes,"Gym, Restaurants, Grocery Stores, Transportation"
Clement Town,4076,2.7,Male,Yes,,Yes,Yes,"Grocery Stores, Gym"
Morowala,8156,7.0,Male,No,,Yes,No,"Medical Shops, Gym, Restaurants, Transportation"
"Subhash Nagar, Dehradun",9073,5.3,Female,No,,Yes,No,"Gym, Medical Shops, Transportation, Restaurants"
Morowala,11188,7.0,Female,Yes,,No,Yes,"Transportation, Restaurants, Medical Shops"
"Subhash Nagar, Dehradun",5079,5.3,Male,No,,No,No,"Restaurants, Gym, Transportation, Grocery Stores"
ISBT Road,11962,3.3,Female,No,,Yes,No,"Restaurants, Transportation, Medical Shops, Grocery Stores, Gym"
"Lane-4, Clement Town",11109,3.5,Female,Yes,,Yes,Yes,"Grocery Stores, Medical Shops, Restaurants"
Shubhash Nagar,7352,5.4,Male,No,,No,No,Transportation
"Lane-2, Clement Town",6732,2.9,Female,No,,Yes,No,"Grocery Stores, Restaurants, Transportation"
"Lane-1, Clement Town",4818,2.8,Female,No,,No,No,"Medical Shops, Restaurants, Grocery Stores"
Nehru Marg,8464,5.7,Female,No,,Yes,No,"Grocery Stores, Gym, Transportation"
Tibetan Colony,10743,6.8,Female,No,,No,Yes,"Restaurants, Transportation, Grocery Stores"
"Lane-4, Clement Town",9160,3.5,Male,No,,Yes,Yes,"Transportation, Grocery Stores, Restaurants, Gym"
Mohabbewala,12148,8.2,Male,No,,Yes,Yes,"Transportation, Grocery Stores, Gym, Medical Shops"
"Lane-3, Clement Town",6823,3.3,Male,Yes,,No,Yes,Gym
St Mary Church,5518,4.4,Male,No,,No,No,"Medical Shops, Transportation, Gym"
Bell Road,5462,5.8,Female,No,,Yes,Yes,"Medical Shops, Grocery Stores, Gym, Transportation, Restaurants"
Air Force Colony,4598,6.0,Female,No,,No,No,"Gym, Transportation, Grocery Stores"
Mohabbewala,10564,8.2,Female,Yes,,Yes,Yes,"Transportation, Restaurants, Gym, Medical Shops, Grocery Stores"
Pant Road,11467,6.4,Male,Yes,,Yes,No,"Grocery Stores, Gym, Restaurants, Transportation, Medical Shops"
"Clement Town, Post Office Road, Lane No 10",12707,4.0,Female,Yes,,No,Yes,"Transportation, Restaurants"
"Lane-1, Clement Town",3128,2.8,Male,No,,Yes,Yes,"Restaurants, Transportation, Medical Shops, Gym, Grocery Stores"
ISBT Road,9260,3.3,Male,Yes,,No,Yes,"Gym, Transportation, Medical Shops, Restaurants"
Morowala,7630,7.0,Female,No,,Yes,No,Restaurants
Bharuwala colony,4413,6.2,Female,Yes,,Yes,No,"Medical Shops, Transportation, Restaurants, Grocery Stores, Gym"
Tibetan Colony,5188,6.8,Male,No,,Yes,Yes,"Restaurants, Medical Shops, Gym"
"Lane-10, Post Office Road",7042,4.2,Male,No,,No,Yes,"Transportation, Gym"
Shubhash Nagar,6923,5.4,Female,No,,Yes,Yes,Transportation
Gurn Nanak Road,11343,5.0,Female,No,,No,No,Restaurants
Subhash Nagar,10056,5.0,Female,Yes,,No,No,Transportation
Manav Kendra,4455,3.9,Female,Yes,,Yes,No,"Gym, Grocery Stores, Medical Shops"
Nehru Marg,12445,5.7,Female,Yes,,No,Yes,Medical Shops
Clement Town,5591,2.7,Female,Yes,,Yes,No,"Gym, Restaurants"
Subhash Nagar,3128,5.0,Male,Yes,,No,No,"Grocery Stores, Transportation"
Sahastradhara,9046,9.5,Female,Yes,,No,No,"Gym, Restaurants, Transportation"
Mohabbewala,7717,8.2,Male,No,,No,Yes,"Restaurants, Grocery Stores, Transportation, Medical Shops, Gym"
Subhash Nagar,9490,5.0,Male,No,,No,Yes,Restaurants
Jaligaon,11658,7.5,Male,No,,No,Yes,"Transportation, Medical Shops, Gym"
"Lane-4, Clement Town",4441,3.5,Male,Yes,,No,Yes,Restaurants
Pant Road,11499,6.4,Female,Yes,,No,No,"Transportation, Grocery Stores, Gym"
"Lane-1, Clement Town",7885,2.8,Female,No,,No,Yes,Medical Shops
"Lane No 2C, Post Office Road, Clement Town, Dehradun",7520,4.1,Male,No,,Yes,Yes,"Transportation, Grocery Stores"
Subhash Nagar,12788,5.0,Male,No,,Yes,No,Transportation
Clement Town,6562,2.7,Female,Yes,,No,No,"Restaurants, Transportation, Gym"
"Clement Town, Post Office Road, Lane No 10",6541,4.0,Female,No,,No,No,"Medical Shops, Restaurants, Transportation, Gym, Grocery Stores"
Morowala,5183,7.0,Female,Yes,,No,Yes,"Grocery Stores, Medical Shops, Gym"
Morowala,5836,7.0,Female,Yes,,Yes,No,"Restaurants, Gym, Transportation"
Nehru Marg,6082,5.7,Female,No,,No,No,"Medical Shops, Restaurants, Grocery Stores, Transportation"
Nehru Marg,11527,5.7,Male,No,,No,Yes,"Gym, Restaurants"
St Mary Church,10277,4.4,Male,Yes,,Yes,No,"Grocery Stores, Restaurants, Gym, Medical Shops"
"Lane-3, Clement Town",5621,3.3,Male,Yes,,Yes,No,"Medical Shops, Restaurants, Transportation, Grocery Stores"
Jaligaon,8773,7.5,Female,No,,Yes,No,"Grocery Stores, Restaurants, Medical Shops, Gym"
Nehru Marg,10146,5.7,Female,Yes,,No,No,"Transportation, Gym, Medical Shops"
Nehru Marg,7632,5.7,Male,Yes,,Yes,No,"Gym, Restaurants, Grocery Stores"
"Lane-2, Clement Town",11924,2.9,Male,No,,No,Yes,"Transportation, Grocery Stores"
"Subhash Nagar, Dehradun",7580,5.3,Male,No,,Yes,Yes,"Medical Shops, Transportation, Gym"
ISBT Road,10941,3.3,Male,No,,No,No,Medical Shops
Sahastradhara,10567,9.5,Female,No,,No,No,"Gym, Medical Shops"
Mohabbewala,4800,8.2,Female,Yes,,Yes,No,"Grocery Stores, Medical Shops, Transportation, Gym, Restaurants"
Clement Town,5971,2.7,Male,No,,Yes,Yes,"Gym, Transportation"
"Lane-1, Clement Town",5275,2.8,Male,Yes,,Yes,Yes,"Transportation, Medical Shops"
"Lane-4, Clement Town",12778,3.5,Male,No,,No,Yes,"Restaurants, Transportation, Gym, Medical Shops, Grocery Stores"
Bell Road,11266,5.8,Female,Yes,,No,No,Medical Shops
Bell Road,9126,5.8,Female,No,,No,No,"Medical Shops, Transportation, Grocery Stores"
Jaligaon,5036,7.5,Male,No,,Yes,No,"Restaurants, Medical Shops"
"Subhash Nagar, Dehradun",11063,5.3,Male,Yes,,Yes,Yes,"Restaurants, Medical Shops, Transportation, Gym, Grocery Stores"
"Lane-3, Clement Town",12821,3.3,Female,Yes,,Yes,No,"Restaurants, Transportation"
"Lane-4, Clement Town",9350,3.5,Female,No,,Yes,Yes,"Gym, Restaurants, Transportation"
Morowala,3582,7.0,Female,No,,Yes,No,"Grocery Stores, Transportation, Restaurants"
Manav Kendra,5407,3.9,Female,No,,Yes,Yes,"Medical Shops, Gym, Restaurants, Grocery Stores, Transportation"
St Mary Church,9971,4.4,Female,Yes,,No,No,"Grocery Stores, Transportation, Restaurants, Gym"
Gurn Nanak Road,11805,5.0,Female,Yes,,Yes,No,"Transportation, Restaurants, Gym, Medical Shops"
"Lane-2, Clement Town",5454,2.9,Male,Yes,,Yes,Yes,"Restaurants, Grocery Stores, Transportation, Gym, Medical Shops"
Manav Kendra,6528,3.9,Male,Yes,,No,No,"Grocery Stores, Medical Shops, Restaurants, Gym, Transportation"
Air Force Colony,9995,6.0,Male,Yes,,No,Yes,"Grocery Stores, Gym, Transportation, Restaurants"
Gurn Nanak Road,8929,5.0,Male,No,,No,No,Gym
"Lane-2, Clement Town",11878,2.9,Female,Yes,,No,No,"Transportation, Medical Shops, Gym, Grocery Stores"
"Lane-3, Clement Town",5873,3.3,Male,No,,Yes,No,"Medical Shops, Gym, Transportation"
Morowala,4348,7.0,Female,Yes,,No,Yes,"Gym, Medical Shops, Transportation, Grocery Stores"
Manav Kendra,11046,3.9,Male,No,,Yes,Yes,"Restaurants, Medical Shops, Grocery Stores"
"Clement Town, Post Office Road, Lane No 10",3167,4.0,Female,No,,Yes,Yes,"Grocery Stores, Gym, Medical Shops, Transportation, Restaurants"
St Mary Church,11085,4.4,Male,Yes,,No,No,"Transportation, Medical Shops, Restaurants, Gym, Grocery Stores"
"Subhash Nagar, Dehradun",7909,5.3,Male,Yes,,No,No,"Transportation, Medical Shops"
"Lane-3, Clement Town",8319,3.3,Male,No,,Yes,Yes,"Medical Shops, Transportation, Gym, Grocery Stores"
ISBT Road,11556,3.3,Male,No,,Yes,No,Restaurants
Bell Road,3326,5.8,Female,No,,No,No,Transportation
Bharuwala colony,12717,6.2,Male,No,,No,Yes,"Gym, Restaurants, Transportation, Medical Shops, Grocery Stores"
Subhash Nagar,8238,5.0,Male,Yes,,No,No,"Restaurants, Transportation, Medical Shops"
Mohabbewala,8034,8.2,Female,No,,Yes,No,Transportation
Tibetan Colony,8189,6.8,Female,No,,No,No,"Restaurants, Gym"
Tibetan Colony,11147,6.8,Female,Yes,,No,No,"Restaurants, Grocery Stores"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",11259,4.1,Female,Yes,,No,No,"Transportation, Gym, Grocery Stores, Restaurants"
Nehru Marg,9780,5.7,Male,No,,Yes,Yes,"Restaurants, Grocery Stores"
"Clement Town, Post Office Road, Lane No 10",12784,4.0,Male,No,,Yes,No,Gym
Pant Road,10088,6.4,Female,Yes,,Yes,Yes,"Grocery Stores, Restaurants"
Sahastradhara,8704,9.5,Male,No,,Yes,Yes,"Gym, Restaurants"
ISBT Road,5378,3.3,Male,Yes,,Yes,Yes,"Gym, Medical Shops, Transportation"
Clement Town,7473,2.7,Male,No,,No,No,Transportation
"Lane-2, Clement Town",12033,2.9,Female,No,,Yes,Yes,"Medical Shops, Restaurants, Gym, Transportation"
GK army Pre Primary School,5238,4.6,Male,Yes,,Yes,No,"Restaurants, Transportation, Medical Shops, Gym, Grocery Stores"
Air Force Colony,6480,6.0,Female,No,,No,No,"Gym, Medical Shops, Grocery Stores"
"Subhash Nagar, Dehradun",8434,5.3,Female,No,,No,Yes,"Grocery Stores, Gym, Medical Shops, Transportation, Restaurants"
GK army Pre Primary School,3515,4.6,Female,No,,Yes,Yes,"Gym, Grocery Stores"
GK army Pre Primary School,4253,4.6,Female,Yes,,Yes,Yes,Restaurants
Tibetan Colony,11579,6.8,Female,No,,No,No,"Grocery Stores, Gym"
Mohabbewala,12809,8.2,Female,No,,No,Yes,Restaurants
GK army Pre Primary School,4191,4.6,Male,No,,No,Yes,"Medical Shops, Grocery Stores, Restaurants, Gym, Transportation"
Subhash Nagar,3038,5.0,Female,No,,Yes,No,Medical Shops
"Clement Town, Post Office Road, Lane No 10",3397,4.0,Male,Yes,,Yes,Yes,Medical Shops
Bell Road,10292,5.8,Male,No,,Yes,Yes,"Gym, Transportation"
"Clement Town, Post Office Road, Lane No 10",3212,4.0,Male,Yes,,Yes,Yes,"Restaurants, Grocery Stores, Gym, Transportation, Medical Shops"
Jaligaon,9734,7.5,Female,Yes,,No,Yes,"Gym, Medical Shops, Grocery Stores"
Clement Town,11990,2.7,Female,Yes,,No,Yes,"Medical Shops, Gym, Restaurants, Grocery Stores"
Jaligaon,9285,7.5,Male,No,,No,No,"Transportation, Grocery Stores, Gym, Restaurants, Medical Shops"
Manav Kendra,4747,3.9,Female,Yes,,No,Yes,Gym
Shubhash Nagar,12514,5.4,Female,Yes,,Yes,No,Gym
Morowala,9639,7.0,Male,No,,No,Yes,Restaurants
"Lane-1, Clement Town",8093,2.8,Male,Yes,,No,Yes,"Transportation, Medical Shops, Gym, Grocery Stores, Restaurants"
Bell Road,9479,5.8,Male,Yes,,No,Yes,"Restaurants, Transportation, Medical Shops, Grocery Stores"
Subhash Nagar,11769,5.0,Male,Yes,,No,Yes,"Grocery Stores, Gym"
St Mary Church,3564,4.4,Female,Yes,,No,Yes,"Transportation, Medical Shops, Restaurants, Gym"
Tibetan Colony,7848,6.8,Male,Yes,,No,No,"Gym, Grocery Stores, Transportation, Medical Shops, Restaurants"
Shubhash Nagar,6896,5.4,Female,No,,No,Yes,Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",4053,4.1,Female,Yes,,Yes,No,"Transportation, Gym, Medical Shops, Restaurants, Grocery Stores"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",11219,4.1,Male,No,,No,No,"Medical Shops, Transportation"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",3332,4.1,Female,Yes,,No,No,"Transportation, Grocery Stores, Medical Shops, Restaurants"
Manav Kendra,7377,3.9,Male,Yes,,No,Yes,Restaurants
"Subhash Nagar, Dehradun",12481,5.3,Female,Yes,,No,Yes,Transportation
Tibetan Colony,8827,6.8,Female,Yes,,Yes,Yes,"Transportation, Medical Shops"
Jaligaon,4788,7.5,Male,No,,Yes,Yes,"Transportation, Restaurants, Grocery Stores, Medical Shops"
GK army Pre Primary School,5690,4.6,Female,Yes,,Yes,No,"Grocery Stores, Medical Shops"
"Subhash Nagar, Dehradun",3759,5.3,Female,No,,No,No,"Transportation, Restaurants"
GK army Pre Primary School,6899,4.6,Male,No,,No,No,"Gym, Grocery Stores, Transportation, Medical Shops"
"Lane-3, Clement Town",11377,3.3,Male,No,,Yes,No,Grocery Stores
"Subhash Nagar, Dehradun",11737,5.3,Male,No,,No,Yes,"Grocery Stores, Gym, Medical Shops"
Morowala,9791,7.0,Female,No,,Yes,No,"Gym, Restaurants, Grocery Stores, Transportation"
GK army Pre Primary School,5306,4.6,Female,Yes,,No,Yes,Transportation
Morowala,8029,7.0,Male,No,,No,Yes,"Medical Shops, Restaurants"
Bharuwala colony,12956,6.2,Male,Yes,,No,Yes,"Restaurants, Grocery Stores, Medical Shops, Gym"
"Lane-4, Clement Town",9710,3.5,Female,No,,No,Yes,Restaurants
Nehru Marg,8590,5.7,Male,Yes,,Yes,No,Gym
Bell Road,3417,5.8,Female,No,,No,No,"Gym, Restaurants, Grocery Stores, Transportation, Medical Shops"
"Lane-3, Clement Town",4590,3.3,Male,No,,No,Yes,"Gym, Grocery Stores, Medical Shops"
Bell Road,9748,5.8,Male,No,,Yes,No,Transportation
ISBT Road,9685,3.3,Female,No,,No,No,"Gym, Medical Shops, Grocery Stores, Transportation"
Morowala,3832,7.0,Male,No,,Yes,Yes,Transportation
Pant Road,6794,6.4,Male,No,,Yes,Yes,Restaurants
Gurn Nanak Road,4111,5.0,Male,No,,No,No,"Restaurants, Grocery Stores, Gym"
St Mary Church,10673,4.4,Female,Yes,,No,Yes,"Transportation, Gym, Grocery Stores"
"Lane-3, Clement Town",11873,3.3,Male,No,,No,Yes,"Medical Shops, Restaurants, Grocery Stores, Gym"
"Lane-10, Post Office Road",6682,4.2,Male,Yes,,No,No,"Transportation, Restaurants, Gym, Grocery Stores, Medical Shops"
"Lane-10, Post Office Road",3755,4.2,Male,No,,Yes,No,"Gym, Grocery Stores, Medical Shops, Transportation, Restaurants"
Nehru Marg,8396,5.7,Male,No,,Yes,Yes,"Transportation, Restaurants"
Pant Road,10187,6.4,Female,No,,Yes,Yes,"Gym, Restaurants, Grocery Stores"
Gurn Nanak Road,11315,5.0,Male,Yes,,No,No,Gym
Air Force Colony,3530,6.0,Male,Yes,,Yes,Yes,"Gym, Transportation, Restaurants, Grocery Stores, Medical Shops"
"Lane-3, Clement Town",3460,3.3,Female,No,,Yes,No,Gym
"Lane-4, Clement Town",4550,3.5,Male,No,,Yes,Yes,"Transportation, Grocery Stores, Restaurants"
Mohabbewala,11979,8.2,Male,Yes,,No,Yes,"Restaurants, Transportation"
Sahastradhara,10984,9.5,Male,No,,Yes,Yes,"Transportation, Gym, Restaurants"
GK army Pre Primary School,5029,4.6,Male,No,,No,Yes,"Transportation, Restaurants, Gym, Grocery Stores, Medical Shops"
Shubhash Nagar,7083,5.4,Male,No,,Yes,No,"Restaurants, Grocery Stores, Medical Shops"
GK army Pre Primary School,5129,4.6,Female,Yes,,Yes,Yes,"Grocery Stores, Gym, Medical Shops, Restaurants, Transportation"
"Lane-2, Clement Town",7188,2.9,Male,No,,No,No,Restaurants
"Clement Town, Post Office Road, Lane No 10",9608,4.0,Male,No,,No,No,"Gym, Transportation, Restaurants, Medical Shops, Grocery Stores"
Gurn Nanak Road,3982,5.0,Male,Yes,,Yes,Yes,"Restaurants, Medical Shops"
Manav Kendra,5390,3.9,Male,No,,Yes,No,"Grocery Stores, Medical Shops, Gym"
"Lane-2, Clement Town",7391,2.9,Female,Yes,,Yes,No,"Grocery Stores, Restaurants"
Air Force Colony,4683,6.0,Male,Yes,,No,No,"Grocery Stores, Restaurants, Transportation, Gym, Medical Shops"
Manav Kendra,6812,3.9,Male,No,,No,Yes,"Medical Shops, Restaurants"
Nehru Marg,5051,5.7,Male,Yes,,Yes,No,Grocery Stores
Nehru Marg,10577,5.7,Female,No,,No,Yes,Restaurants
Manav Kendra,8782,3.9,Female,No,,No,No,Restaurants
Nehru Marg,8741,5.7,Female,Yes,,No,Yes,"Medical Shops, Restaurants, Gym"
"Lane-10, Post Office Road",4894,4.2,Female,No,,No,No,"Transportation, Grocery Stores"
"Lane-4, Clement Town",5418,3.5,Female,Yes,,Yes,Yes,"Gym, Grocery Stores, Medical Shops, Transportation"
Manav Kendra,5690,3.9,Female,Yes,,No,Yes,"Gym, Restaurants"
"Lane-2, Clement Town",5328,2.9,Female,No,,No,Yes,"Transportation, Gym, Medical Shops, Grocery Stores"
"Subhash Nagar, Dehradun",4213,5.3,Female,No,,No,No,"Restaurants, Medical Shops, Gym, Transportation, Grocery Stores"
Bharuwala colony,12119,6.2,Male,Yes,,Yes,Yes,"Grocery Stores, Transportation, Medical Shops"
"Lane-1, Clement Town",11471,2.8,Male,No,,No,Yes,"Gym, Medical Shops, Restaurants, Transportation"
Tibetan Colony,10822,6.8,Male,No,,No,Yes,"Medical Shops, Grocery Stores, Restaurants, Gym, Transportation"
"Subhash Nagar, Dehradun",3582,5.3,Female,Yes,,No,No,"Grocery Stores, Transportation, Medical Shops"
St Mary Church,6864,4.4,Male,Yes,,No,Yes,"Grocery Stores, Medical Shops, Restaurants, Transportation, Gym"
"Lane-4, Clement Town",5785,3.5,Male,Yes,,No,No,"Medical Shops, Gym"
"Lane-3, Clement Town",4728,3.3,Female,No,,Yes,Yes,Medical Shops
Sahastradhara,10108,9.5,Male,No,,No,No,"Transportation, Restaurants, Gym, Medical Shops"
"Lane-3, Clement Town",3302,3.3,Female,Yes,,Yes,No,"Medical Shops, Transportation"
Air Force Colony,4996,6.0,Female,No,,Yes,Yes,"Transportation, Restaurants, Grocery Stores, Medical Shops, Gym"
Air Force Colony,7786,6.0,Female,Yes,,Yes,Yes,"Restaurants, Gym, Transportation"
Morowala,12453,7.0,Female,No,,No,No,"Medical Shops, Grocery Stores"
Clement Town,7114,2.7,Female,No,,Yes,No,"Gym, Medical Shops"
Pant Road,4298,6.4,Male,No,,Yes,Yes,"Gym, Restaurants, Grocery Stores, Transportation"
"Lane-10, Post Office Road",8629,4.2,Female,No,,No,No,"Restaurants, Gym, Grocery Stores"
Pant Road,4859,6.4,Female,No,,Yes,Yes,"Transportation, Restaurants"
"Clement Town, Post Office Road, Lane No 10",5924,4.0,Male,No,,Yes,No,Grocery Stores
"Lane No 2C, Post Office Road, Clement Town, Dehradun",10570,4.1,Female,Yes,,Yes,No,"Grocery Stores, Transportation, Gym, Restaurants"
"Subhash Nagar, Dehradun",9364,5.3,Male,No,,Yes,Yes,"Grocery Stores, Transportation, Medical Shops"
"Clement Town, Post Office Road, Lane No 10",11871,4.0,Female,Yes,,No,Yes,Gym
"Lane-4, Clement Town",11832,3.5,Female,No,,Yes,Yes,"Gym, Restaurants, Grocery Stores, Medical Shops"
Bell Road,3839,5.8,Female,Yes,,No,Yes,"Transportation, Gym, Medical Shops, Restaurants, Grocery Stores"
"Lane-4, Clement Town",3038,3.5,Female,No,,Yes,Yes,"Transportation, Medical Shops"
"Clement Town, Post Office Road, Lane No 10",6613,4.0,Male,No,,Yes,Yes,"Grocery Stores, Restaurants, Medical Shops, Transportation"
Air Force Colony,7170,6.0,Male,Yes,,No,Yes,Gym
"Lane-10, Post Office Road",7042,4.2,Female,No,,No,Yes,"Grocery Stores, Gym, Medical Shops, Restaurants, Transportation"
"Subhash Nagar, Dehradun",11137,5.3,Female,Yes,,No,No,"Transportation, Restaurants, Medical Shops, Grocery Stores"
Manav Kendra,3628,3.9,Male,No,,Yes,Yes,"Medical Shops, Gym"
Sahastradhara,8788,9.5,Male,Yes,,Yes,Yes,"Gym, Restaurants"
Gurn Nanak Road,4869,5.0,Male,Yes,,Yes,No,"Restaurants, Gym, Medical Shops, Transportation, Grocery Stores"
ISBT Road,5399,3.3,Female,No,,Yes,Yes,"Gym, Restaurants, Transportation, Medical Shops"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",10912,4.1,Female,No,,No,Yes,"Gym, Medical Shops, Grocery Stores, Transportation, Restaurants"
Mohabbewala,5456,8.2,Female,Yes,,Yes,Yes,"Restaurants, Grocery Stores, Medical Shops"
"Lane-2, Clement Town",5799,2.9,Male,No,,Yes,No,"Gym, Grocery Stores, Restaurants, Transportation, Medical Shops"
Gurn Nanak Road,6739,5.0,Female,Yes,,Yes,No,"Gym, Medical Shops, Grocery Stores, Restaurants, Transportation"
GK army Pre Primary School,4735,4.6,Male,Yes,,Yes,No,"Gym, Restaurants, Transportation, Grocery Stores, Medical Shops"
Clement Town,6895,2.7,Male,Yes,,No,Yes,"Medical Shops, Gym"
"Clement Town, Post Office Road, Lane No 10",10423,4.0,Male,Yes,,Yes,No,"Gym, Restaurants, Grocery Stores, Transportation"
"Subhash Nagar, Dehradun",6492,5.3,Female,No,,Yes,Yes,"Medical Shops, Transportation, Gym, Restaurants, Grocery Stores"
Clement Town,9773,2.7,Male,Yes,,Yes,Yes,"Medical Shops, Gym, Restaurants"
ISBT Road,6755,3.3,Male,Yes,,No,No,"Gym, Medical Shops, Restaurants"
Tibetan Colony,5925,6.8,Male,Yes,,Yes,Yes,Grocery Stores
Manav Kendra,5183,3.9,Female,No,,No,No,"Restaurants, Medical Shops, Gym, Transportation"
"Subhash Nagar, Dehradun",5937,5.3,Female,No,,No,No,"Medical Shops, Gym, Grocery Stores, Restaurants"
"Lane-3, Clement Town",8808,3.3,Female,Yes,,No,Yes,"Grocery Stores, Transportation"
Shubhash Nagar,7239,5.4,Male,No,,No,No,"Restaurants, Medical Shops, Transportation"
"Lane-10, Post Office Road",8143,4.2,Male,Yes,,No,No,Transportation
"Subhash Nagar, Dehradun",12747,5.3,Female,No,,Yes,Yes,"Transportation, Restaurants, Medical Shops"
"Lane No 2C, Post Office Road, Clement Town, Dehradun",12499,4.1,Male,Yes,,No,Yes,"Gym, Medical Shops, Transportation, Restaurants, Grocery Stores"
Gurn Nanak Road,10654,5.0,Female,Yes,,Yes,No,"Medical Shops, Grocery Stores"
Subhash Nagar,3006,5.0,Male,Yes,,Yes,No,Grocery Stores
ISBT Road,3456,3.3,Female,No,,No,No,"Transportation, Medical Shops, Gym"
Pant Road,5118,6.4,Male,Yes,,Yes,Yes,Medical Shops
Mohabbewala,8256,8.2,Male,No,,No,No,"Restaurants, Gym"
Manav Kendra,6348,3.9,Male,Yes,,No,No,Transportation
Bell Road,8822,5.8,Male,Yes,,Yes,No,"Transportation, Medical Shops, Restaurants, Gym"
"Lane-4, Clement Town",7941,3.5,Female,Yes,,No,No,"Medical Shops, Gym, Grocery Stores, Transportation, Restaurants"
"Lane-10, Post Office Road",3827,4.2,Female,No,,Yes,No,"Medical Shops, Gym"
Shubhash Nagar,11126,5.4,Female,Yes,,No,Yes,"Gym, Transportation, Medical Shops, Restaurants"
"Lane-2, Clement Town",6344,2.9,Male,Yes,,Yes,No,"Gym, Transportation"
Pant Road,4483,6.4,Male,No,,Yes,No,Grocery Stores
Subhash Nagar,5315,5.0,Female,No,,No,No,"Medical Shops, Restaurants"
"Lane-2, Clement Town",3887,2.9,Female,No,,No,Yes,"Grocery Stores, Medical Shops, Transportation, Restaurants, Gym"
"Lane-10, Post Office Road",5893,4.2,Male,Yes,,No,Yes,"Grocery Stores, Medical Shops"
Jaligaon,9721,7.5,Female,No,,Yes,Yes,"Medical Shops, Gym"
"Clement Town, Post Office Road, Lane No 10",4514,4.0,Female,Yes,,No,Yes,"Grocery Stores, Gym, Transportation, Medical Shops"
Mohabbewala,11814,8.2,Female,No,,No,No,"Transportation, Gym, Restaurants"
Clement Town,12235,2.7,Male,Yes,,No,Yes,"Medical Shops, Restaurants"
"Lane-4, Clement Town",10418,3.5,Male,No,,Yes,No,"Grocery Stores, Gym"
Mohabbewala,3344,8.2,Female,Yes,,No,Yes,"Transportation, Medical Shops"
